Restaurant,Code,Store ID,Order ID,Purchased,Price,Visit Type,Offset
Mottram,MXFW-4NHD-HC7B,1010,1756,2022-11-24 17:12:32,5.79,3,125
Leeds - Kirkstall,MHBW-R4HD-XH7D,871,1982,2022-11-27 11:27:52,,3,125
Annandale Water Msa,7NLW-NFH6-7XLV,1413,135,2022-12-02 19:08:02,15.15,3,125
Sawyers Arms,MNKW-N6H4-7FQX,791,1930,2022-12-24 09:57:46,8.57,3,125
Castlemilk,7MXW-NLH4-ZQ3K,1290,1938,2022-12-28 20:59:51,12.17,3,125
Peterborough - Glinton,MTKW-NCHR-FZW3,1191,1925,2023-01-07 18:18:11,21.87,3,125
Tankersley,CJHW-RVHR-VBWD,584,1994,2023-01-11 19:48:02,4.28,3,125
Silverlink,CK9W-4FHH-L3JP,411,1960,2023-01-19 23:08:43,12.99,3,125
Fenton Dt,M9WW-69HZ-4FMM,903,1711,2023-02-18 19:51:37,9.68,3,125
Bramley,CKMW-NGHZ-KY4J,401,1943,2023-02-22 23:32:23,17.08,3,125
BIGGLESWADE,7ZRW-4ZHL-K6H7,1558,1962,2023-03-05 12:04:24,29.36,3,125
NORTHAMPTON KETTERING ROAD,7ZWW-NGH3-ZFWJ,1553,1743,2023-03-14 16:48:55,3.49,3,125
Frome - Sandy Hills Lane,MTVW-NDHX-9TWF,1194,1929,2023-03-25 07:48:07,14.20,3,125
Antrim - The Junction Retail Park,79HW-6PHX-ZR6H,1534,1920,2023-03-25 12:25:20,6.81,3,125
Coventry Walsgrave,CH7W-4DHX-YLP6,227,1754,2023-03-30 19:45:25,19.15,3,125
Ayr,CB9W-NQHK-9RHG,536,1742,2023-04-04 22:29:26,7.58,3,125
Gallows Corner,MPFW-69HG-7M6R,1135,1711,2023-04-22 14:35:57,19.96,3,125
Bromborough,CLVW-NVHG-99ZB,344,1944,2023-04-26 16:37:06,9.48,3,125
MATLOCK,7FHW-NFHG-LJH3,1509,1935,2023-04-27 18:24:03,,3,125
Kilmarnock,CPPW-6HHP-MHBC,520,1909,2023-05-14 00:36:01,7.48,3,125
Liverpool - Aigburth Road,MTYW-4PHB-6JP7,1199,1970,2023-05-26 20:30:24,12.71,3,125
Kilmarnock Bellfield Interchange,749W-R7HB-R9XY,1436,177,2023-05-27 22:40:44,7.48,3,125
Dumbarton,C3HW-4FHB-Q47N,359,1760,2023-05-31 18:32:18,12.50,3,125
Stanmore Cornerhouse,M6PW-R9HB-BCFP,770,1786,2023-06-02 09:25:59,3.38,3,125
Selby,77KW-NGHT-WKDR,1316,1943,2023-06-05 16:54:51,16.94,3,125
SNODLAND,73KW-49HT-NNM9,1616,1961,2023-06-06 19:56:07,25.87,3,125
MATLOCK,7FHW-RFHT-NH43,1509,1785,2023-06-06 21:17:52,8.68,3,125
Ayr,CB9W-NKHT-N9FG,536,1741,2023-06-06 22:10:34,7.48,3,125
Black Cat,MD3W-RGHT-ZNTL,739,1793,2023-06-09 10:47:26,3.19,3,125
Derby Markeaton Park,CQ6W-4GHT-XBMV,430,1968,2023-06-10 23:56:11,13.18,3,125
Wakefield 2,CTVW-6DHJ-7MXP,569,1904,2023-06-15 20:50:51,13.68,3,125
Harlow - Hastingwood,M3QW-RKHJ-77KH,992,1991,2023-06-15 21:16:22,,3,125
Festival Leisure Park Basildon,MH4W-4BHJ-7D9K,857,1771,2023-06-15 22:01:52,15.42,3,125
